series,episode,uk_airdate,viewers_7day,viewers_28day,network_rank,channels_rank,bbc_iplayer_requests
6,1,2015-08-05,11.62,11.729999999999999,1,1,2063000
6,2,2015-08-12,11.59,11.84,1,1,1977000
6,3,2015-08-19,12.01,NA,1,1,1760000
6,4,2015-08-26,12.360000000000001,12.67,1,1,1539000
6,5,2015-09-02,12.39,12.629999999999999,1,1,1930000
6,6,2015-09-09,12,12.26,1,1,1869000
6,7,2015-09-16,12.350000000000001,12.58,1,1,1841000
6,8,2015-09-23,11.09,11.350000000000001,1,1,1748000
6,9,2015-09-30,12.65,12.78,1,1,1370000
6,10,2015-10-07,15.05,15.16,1,1,1619000
